,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
154,0.383,0.748,-6.343,0.0343,0.022,0.00014,0.114,0.255,171.568,2UE4m8egf0aREmOi47sDOk,198213
155,0.125,0.306,-12.791,0.0327,0.672,0.00241,0.822,0.0703,147.847,3RxrdgLVyENtIesgO7M0yJ,122268
156,0.386,0.367,-9.28,0.032,0.132,0.0,0.0714,0.342,114.649,4C6VeiKY10rCQIHq4VafWF,249573
157,0.29,0.998,-3.716,0.148,0.000238,0.498,0.0566,0.0368,111.301,3ci1aGelb4y8BxI5abOwCH,170520
158,0.941,0.538,-7.213,0.0856,0.0237,0.000703,0.0792,0.726,124.327,2pZnrbfZOXHzN0t1lAauhs,382493
159,0.732,0.69,-4.992,0.134,0.291,0.0,0.116,0.758,143.072,4jTiyLlOJVJj3mCr7yfPQD,206307
160,0.391,0.985,-4.653,0.432,0.000292,0.00207,0.0727,0.168,199.946,5Q6ViafzbPK1W2pyccVMhi,231027
161,0.523,0.666,-4.081,0.0327,0.401,0.0,0.0728,0.564,78.077,0BCy325UZyR9z0t0uxwn2N,194187
162,0.497,0.704,-8.085,0.0324,0.0071,6.69e-05,0.783,0.607,125.919,1AQYE6CcYKlzM8e9Df5i1g,176597
163,0.53,0.751,-6.037,0.0285,0.000266,0.0,0.172,0.497,114.158,6XJJ579dHw1qzmKVnBRoGI,165480
164,0.311,0.485,-5.726,0.0365,0.701,0.0,0.0726,0.225,77.355,55Am8neGJkdj2ADaM3aw5H,208827
165,0.573,0.563,-10.284,0.0331,0.384,0.0146,0.113,0.578,151.107,702F9mDv0HGLfl56qpFSGy,250267
166,0.76,0.693,-7.289,0.253,0.0525,0.0,0.219,0.556,91.468,6fuPI6f3dqhZvuPRWsinHH,236280
167,0.611,0.696,-5.085,0.231,0.266,0.0,0.0411,0.712,86.239,1UorXiNXucVdZ7PoUliSH9,256719
168,0.682,0.483,-7.718,0.0451,0.00103,0.0,0.159,0.108,84.012,0Ss50OU9tCozI7JIywkv14,280013
169,0.762,0.634,-7.136,0.0637,0.146,0.0296,0.107,0.836,138.678,1XCxAx1UTozMi5qvSm8AMm,430227
170,0.862,0.619,-5.155,0.0624,0.0605,0.00175,0.077,0.678,86.98,3H7PxMCbLmkxpHIJLo0m7c,288147
171,0.348,0.985,-3.487,0.0791,1.23e-05,0.267,0.16,0.412,152.021,5WLWVS5MwKUB5vmGggaycn,206040
172,0.572,0.934,-4.64,0.0452,0.000137,0.0,0.305,0.46,114.998,3tcTP3mnUt3nWVb4VRdaCT,182293
173,0.39,0.865,-7.813,0.096,0.0558,0.0665,0.0796,0.286,121.999,6oe6yYpgZWPYUwxKzG3HIL,243120
174,0.581,0.71,-5.245,0.0348,0.0634,0.0,0.0732,0.188,106.04,2bDXmdP23tCK9uj8e2o3ya,249239
175,0.118,0.107,-20.26,0.0439,0.964,0.922,0.0781,0.0283,65.643,3NHVzKfiThQeeyG395TNFA,222748
176,0.622,0.81,-4.547,0.25,0.0182,0.0,0.179,0.585,179.611,3lp9ykWetDT0QVEXKVcCa3,219733
177,0.756,0.698,-4.99,0.153,0.136,0.0,0.322,0.712,86.038,75NrFOuTeiAVIrOWPMOn8R,190961
